id,text,chars,width,height,area,char_size,pos_x,pos_y,aspect,layout,label
bank-001-000,2015 Fifth International Conference on Communication Systems and Network Technologies,85,0.602941,0.015152,0.009135,0.000107,0.499183,0.060606,39.794118, h,body
bank-001-001,Head Gesture Recognition System Using Gesture Cam,49,0.531046,0.018939,0.010058,0.000205,0.499183,0.105429,28.039222, h,body
bank-001-002,Rushikesh T. Bankar,19,0.150327,0.012626,0.001898,0.0001,0.271242,0.165404,11.905876, h,body
bank-001-003,"Research Scholar,Department of Electronics Engineering,G. H. Raisoni College of Engineering,",92,0.259804,0.045455,0.011809,0.000128,0.272059,0.199495,5.715687, h,header
bank-001-004,"Nagpur, India.rushikesh.bankar@raisoni.net",42,0.196078,0.032828,0.006437,0.000153,0.271242,0.236111,5.972853, h,body
bank-001-005,Dr. Suresh S. SalankarDepartment of Electronics & Telecommunication,67,0.321895,0.032828,0.010567,0.000158,0.698529,0.175505,9.805424, h,body
bank-001-006,"Engineering,G. H. Raisoni College of Engineering,",49,0.25,0.02904,0.00726,0.000148,0.700163,0.206439,8.6087, h,body
bank-001-007,"Nagpur, India.suresh.salankar@raisoni.net",41,0.184641,0.031566,0.005828,0.000142,0.698529,0.23548,5.849412, h,body
bank-001-008,"Abstract - Head Gesture means the position made by themovement of head by considering all its facial geometry aseyes, nose, lips etc. The use of such gesture is to expressthought, emotion, etc. Such Head Gesture is very useful /beneficial for the Handicapped / Peoples having Paralysisfrom neck onwards. For such peoples Hand GestureRecognition System is not useful. Such peoples give theindications by using their Head Movements. The gesturerecognition from the video sequences is one of the mostimportant challenges in the computer vision. It offers to thesystem, the ability to identify, recognize and interpret thehuman gestures in order to control some devices. In thispaper, we provide a review on gesture recognition withparticular emphasis on Head Gestures and FacialExpressions. Applications involving Face Detection, FaceTracking, Gesture Recognition, and Obstacle Detection arediscussed in detail.",908,0.382353,0.219697,0.084002,9.3e-05,0.29085,0.388889,1.740365, h,header
bank-001-009,"Keywords Face Recognition, Intelligent Systems,Computer Vision, Head Gestures, Face Detection.",94,0.380719,0.027778,0.010575,0.000113,0.290033,0.526515,13.705921, h,body
bank-001-010,I.,2,0.00817,0.007576,6.2e-05,3.1e-05,0.232843,0.563131,1.078433, h,body
bank-001-011,INTRODUCTION,12,0.098039,0.010101,0.00099,8.3e-05,0.316993,0.563131,9.705891, h,body
bank-001-012,"captured images of the user for an application. Forexample, a motion triggered surveillance camera capturesthe video of the user's head, detects the movements of theuser's head and gives an indication for the face direction.",224,0.380719,0.056818,0.021632,9.7e-05,0.703431,0.311237,6.700652, h,header
bank-001-013,"Recognizing Gestures is a complex task which involvesmany aspects such as motion modelling, motion analysis,pattern recognition and machine learning. Since gesturerecognition is receiving more and more attention in recentresearch, a comprehensive review on various gesturerecognition techniques developed in recent years isneeded.",330,0.382353,0.098485,0.037656,0.000114,0.704248,0.388889,3.882353, h,header
bank-001-014,"In a PC based Smart Camera, the camera is a webcamor CCTV camera, of which the video output is connectedto a PC port through either USB, Ethernet, Fire wire, orthe other protocols. Such kind of camera configurationhas a few limitations. For example, a general purpose PCis usually not suited to the intensive image processing ofthe high resolution as well as high frame rate cameraoutput video streams. In addition to this, the bandwidthrequirement for the camera PC link is very high. TheGesture Cam that is the Smart Camera can greatlysimplify the application system design to perform imageprocessing tasks. The Gesture Cam / Smart Camerahaving the embedded processing unit, is a much betterway to process the images at the high resolution as well ashigh frame rate. This performs in real time. The onlyimage feature or the high level description of the user'sface in four directions needs to be transferred to a centralcontrol computer, is the output of the smart camera, thebandwidth is low.",995,0.382353,0.271465,0.103795,0.000104,0.704248,0.578914,1.408481, h,header
bank-001-015,"The Smart Camera / Gesture Cam can have manyapplications, such as Video Surveillance, Security,Human Computer Interface, Computer Vision, UserInterface technology is an integral as well as critical partof the most modern ICT systems. Unlike all existing UserInterface Technologies which are computer centered, anMMUI that is Multi Modal User Interfaces is usercentered. The Multi Modal User Interfaces allows a useror the disabled people to interact with a computer usinguser's natural communication modalities, such as speech,Gestures, Eye Gaze, and Facial Expression. This isoccurring, just as in Human to Human Communication.The MMUI systems include new devices as well as",675,0.382353,0.188131,0.071933,0.000107,0.702614,0.8125,2.032372, h,header
bank-001-016,The,3,0.026144,0.010101,0.000264,8.8e-05,0.338235,0.655303,2.588227, h,body
bank-001-017,"The evolution of the User Interface (UI) witnessed thedevelopment from text based UI based on keyboard toGUI based on mice. In current virtual environmentsapplications, keyboards, mice, and joysticks are still themost popular and dominant devices. However, they areinconvenient and unnatural.",292,0.382353,0.084596,0.032346,0.000111,0.29085,0.619318,4.519755, h,header
bank-001-018,"of humanmovements, especially head gestures, has become animportant part of HCII (Human Computer IntelligentInteraction) in recent years, which serves as a motivatingforce for research in modelling, analysing and recognitionof head gestures. Many techniques developed in HCII canbe extended to other areas such as surveillance, robotcontrol and teleconferencing.",362,0.382353,0.117424,0.044898,0.000124,0.29085,0.708965,3.256165, h,header
bank-001-019,"A Smart Camera in this proposed system can bedefined as a vision system to produce a high levelunderstanding of the images scene and accordingly that itshould generate application specific data or information inwhich the user requires, to be used in an autonomous aswell as an intelligent system. The reason for using smartcamera is that there exist inside the camera, a processingunit which performs Application Specific InformationProcessing. The Application Specific InformationProcessing unit is used to extract the information from the",540,0.382353,0.147727,0.056484,0.000105,0.29085,0.837753,2.588236, h,header
bank-001-020,use,3,0.021242,0.007576,0.000161,5.4e-05,0.378268,0.655303,2.803894, h,body
bank-001-021,535,3,0.017974,0.008838,0.000159,5.3e-05,0.497549,0.938763,2.033625, h,body
bank-001-022,978-1-4799-1797-6/15 $31.00 Ã‚Â© 2015 IEEEDOI 10.1109/CSNT.2015.81,63,0.230392,0.021465,0.004945,7.8e-05,0.196895,0.945076,10.733567, h,body
bank-001-023,IEEEcomputer,12,0.052288,0.016414,0.000858,7.2e-05,0.854575,0.9375,3.185509, h,body
bank-001-024,society,7,0.037582,0.010101,0.00038,5.4e-05,0.878268,0.948232,3.720585, h,body
bank-002-000,"improvements in the Recognition Based Technologies.For example, Speech Recognition, and GestureRecognition. Such systems have the potential to functionin a more robust as well as stable manner than theunimodal recognition systems which involves the singlerecognition based technology.",284,0.382353,0.085859,0.032828,0.000116,0.29085,0.132576,4.453287, h,header
bank-002-001,"The successful deployment of the intelligent systemrelies on their high performance as well as low cost. Ascompared to the other head gesture recognition system,the main performance of the intelligent system includesthe autonomous navigation capability for good safety,flexibility, mobility, obstacle avoidance etc., an intelligentsystem including voice based control system, vision basedcontrol system, and sensor based control system. The newgeneration, an intelligent system of head gesturerecognition should be able to deal with the uncertaintiesfrom the practical applications point of view. They are theuser head either out of the image view or only the profileface is in the captured image, the face colour of the user isuser dependent, or may change dramatically in thevarying illumination conditions, the different facialappearances conditions of the user, such as mustache andglasses, and the cluttered background. The proposedsystem is an intelligent system for the head gesturerecognition, which is based on the combination ofadaboost and improved camshift algorithms.",1080,0.383987,0.291667,0.111996,0.000104,0.291667,0.321338,1.316527, h,header
bank-002-002,"The research on human gestures for the disabledpeoples is going on. K. Yuan [1] represents the HeadGesture Recognition for Hands Free Control of AnIntelligent Wheelchair. In this paper, a novel integratedapproach to Real - Time Face Detection, Tracking andGesture Recognition is proposed, namely Head GestureBased Interface (HGI). It is to be used as the HumanRobot Interface for the Intelligent Wheelchair, namelyRobo Chair. The system is used to solve the problems.They are - The user head may be out of the image view, oronly the profile face is in the captured image, the facecolor is user dependent, and may change dramatically invarying illumination conditions, the user may havedifferent facial appearances, such as mustache and glasses,and the background may be cluttered when an IntelligentWheelchair move in the real world. H. Kim, S. H. Lee, M.K. Sohn and D. J. Kim [2] present a system for head poseestimation in gray level images. The two techniques wereemployed in this research project. The method of RandomForests was employed for dealing with the large set oftraining data. This algorithm is used in the computer visionSystem. To detect the user's faces in the varyingillumination conditions, a Binary Pattern Run Lengthmatrix is used. This matrix also includes a Binary Pattern.M. Davy and R. Deepa [3] present Head MovementSystem using Accelerometer Sensor. The head movementis the gesture which can be performed",1431,0.383987,0.372475,0.143025,0.0001,0.291667,0.653409,1.030907, h,other
bank-002-003,by thequadriplegic patients or disabled peoples whose body,58,0.383987,0.041667,0.015999,0.000276,0.291667,0.845328,9.215683, h,header
